time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
9.8403,39591.0,4372003.0,1.06714344,1.01872838,0.04841506,0.00811158,0.57961917,0.44466519,0.49154559,38.31,45.96,4023.3,4156.5
9.8022,45118.0,4417121.0,1.06151485,1.01331723,0.04819751,0.00675113,0.42468482,0.45176876,0.49474183,38.55,45.96,4602.9,4160.6
9.9597,33600.0,4450721.0,1.04464734,0.99593687,0.04871050,0.00915608,0.46430081,0.50032234,0.49030167,38.31,45.96,3373.6,4152.3
9.9030,46650.0,4497371.0,1.06230295,1.01399481,0.04830811,0.00742500,0.47658777,0.46561974,0.47370225,38.70,45.96,4710.7,4157.4
9.7124,40337.0,4537708.0,1.07263780,1.02439678,0.04824108,0.00714312,0.46864349,0.44241348,0.54864478,38.31,45.96,4153.2,4157.3
10.0402,48294.0,4586002.0,1.05876172,1.01053858,0.04822315,0.00629341,0.42189282,0.48288980,0.60817266,38.87,45.96,4810.1,4163.3
9.5129,51576.0,4637578.0,1.04985142,1.00165737,0.04819411,0.00912339,0.54306930,0.38551170,0.57482892,39.20,45.96,5421.7,4174.0
9.6561,55656.0,4693234.0,1.03407145,0.98597801,0.04809358,0.00713221,0.42710909,0.40270290,0.46026218,39.62,45.96,5763.8,4187.7
9.9893,55182.0,4748416.0,1.08488131,1.03708124,0.04780006,0.01001368,0.42894042,0.41704583,0.63038838,39.57,45.96,5524.1,4199.5
9.9250,47043.0,4795459.0,1.05981982,1.01182890,0.04799088,0.00872994,0.41639036,0.46871305,0.62031323,38.74,45.96,4739.9,4204.2
9.9223,33600.0,4829059.0,1.06255114,1.01442146,0.04812971,0.00713043,0.38210317,0.50032234,0.55890751,38.31,45.96,3386.3,4197.1
9.9265,33598.0,4862657.0,1.06058717,1.01255655,0.04803058,0.00927031,0.38890588,0.50032079,0.48295820,38.31,45.96,3384.7,4190.2
9.9906,47828.0,4910485.0,1.06811178,1.02010524,0.04800664,0.01076466,0.35868698,0.47726825,0.47401741,38.82,45.96,4787.3,4195.2
10.1138,49028.0,4959513.0,1.05134475,1.00339329,0.04795140,0.00697354,0.33381456,0.49256337,0.42584056,38.94,45.96,4847.6,4200.8
9.9301,33600.0,4993113.0,1.02410746,0.97575796,0.04834944,0.01009457,0.35148486,0.50032234,0.34323037,38.31,45.96,3383.7,4194.0
9.9167,33600.0,5026713.0,1.05723906,1.00919485,0.04804426,0.00720220,0.40030128,0.50032234,0.39230883,38.31,45.96,3388.2,4187.3
9.6627,55163.0,5081876.0,1.04726064,0.99924463,0.04801602,0.00896750,0.40806922,0.40627337,0.41943598,39.56,45.96,5708.9,4199.5
10.1404,49508.0,5131384.0,1.09108090,1.04323483,0.04784606,0.00594895,0.42373702,0.49943423,0.27553493,38.99,45.96,4882.3,4205.1
9.6888,39748.0,5171132.0,1.06727982,1.01927280,0.04800698,0.00662809,0.42836690,0.44410518,0.35082334,38.31,45.96,4102.5,4204.3
9.7957,36023.0,5207155.0,1.05630016,1.00809205,0.04820800,0.00733276,0.45298180,0.46977016,0.37080815,38.31,45.96,3677.4,4200.1
10.0108,61768.0,5268923.0,1.05449605,1.00616741,0.04832866,0.00689161,0.38488841,0.45140716,0.31235936,40.24,45.96,6170.2,4215.9
9.9225,33600.0,5302523.0,1.02843130,0.97993857,0.04849268,0.00681477,0.34729430,0.50032234,0.34265089,38.31,45.96,3386.2,4209.3
9.7093,42842.0,5345365.0,1.04616368,0.99793708,0.04822669,0.00710628,0.28987157,0.44243678,0.41879860,38.32,45.96,4412.5,4210.9
9.9197,33600.0,5378965.0,1.03731000,0.98881632,0.04849359,0.00697528,0.34277302,0.50032234,0.32706490,38.31,45.96,3387.2,4204.5
9.9166,33603.0,5412568.0,1.06346834,1.01523149,0.04823685,0.00901367,0.29082355,0.50032467,0.39488479,38.31,45.96,3388.6,4198.2
9.8897,46419.0,5458987.0,1.02729356,0.97919601,0.04809763,0.00792767,0.29526991,0.46273133,0.42702284,38.68,45.96,4693.7,4202.0
9.8107,45486.0,5504473.0,1.03421044,0.98614013,0.04807037,0.00711898,0.26945549,0.45513582,0.43323836,38.58,45.96,4636.3,4205.2
10.0757,49013.0,5553486.0,1.04508603,0.99710548,0.04798064,0.00692704,0.25833982,0.49235690,0.41151866,38.94,45.96,4864.5,4210.2
9.6988,38968.0,5592454.0,1.05402517,1.00610626,0.04791886,0.00936124,0.46933740,0.44734564,0.38469985,38.31,45.96,4017.8,4208.8
10.1116,49266.0,5641720.0,1.05886877,1.01089430,0.04797449,0.00814535,0.27672827,0.49591613,0.37353423,38.97,45.96,4872.2,4213.8
9.9330,33600.0,5675320.0,1.02720499,0.97906357,0.04814142,0.00620106,0.28298739,0.50032234,0.37269929,38.31,45.96,3382.7,4207.7
9.8031,45184.0,5720504.0,1.03631783,0.98835474,0.04796311,0.00646160,0.26803774,0.45304847,0.40693536,38.55,45.96,4609.1,4210.6
9.8703,46112.0,5766616.0,1.05783868,1.01000988,0.04782861,0.00764951,0.26133054,0.46005458,0.39730480,38.65,45.96,4671.8,4213.9
9.9381,33598.0,5800214.0,1.05736458,1.00941765,0.04794684,0.00858121,0.28182444,0.50032079,0.31595767,38.31,45.96,3380.7,4207.9
9.9136,60027.0,5860241.0,1.04337025,0.99556363,0.04780651,0.00825752,0.28303459,0.43484041,0.29425541,40.06,45.96,6055.0,4221.0
9.9272,33600.0,5893841.0,1.01679909,0.96868235,0.04811666,0.00711439,0.25331071,0.50032234,0.35899338,38.31,45.96,3384.6,4215.1
9.9258,33600.0,5927441.0,1.06319964,1.01527727,0.04792241,0.00798597,0.23342478,0.50032234,0.41730979,38.31,45.96,3385.1,4209.2
9.9464,47311.0,5974752.0,1.04566622,0.99768013,0.04798617,0.00586182,0.27273026,0.47151467,0.42760196,38.77,45.96,4756.6,4213.1
9.8074,45015.0,6019767.0,1.04664040,0.99861628,0.04802409,0.00890238,0.28213885,0.45192420,0.40990460,38.53,45.96,4589.9,4215.6
9.5532,52972.0,6072739.0,1.04600322,0.99798441,0.04801877,0.00728484,0.48020023,0.38821745,0.39276546,39.34,45.96,5545.0,4224.5
9.9079,33599.0,6106338.0,1.02953076,0.98147118,0.04805958,0.00637404,0.29133201,0.50032157,0.43317553,38.31,45.96,3391.1,4218.7
9.8968,53721.0,6160059.0,1.05655122,1.00853837,0.04801273,0.00709354,0.35074258,0.44786990,0.46752962,39.42,45.96,5428.1,4226.9
9.9126,33601.0,6193660.0,1.06390953,1.01590300,0.04800659,0.00892352,0.25937441,0.50032312,0.36898869,38.31,45.96,3389.7,4221.3
10.0514,48867.0,6242527.0,1.05288649,1.00489759,0.04798886,0.00928001,0.32487839,0.49035659,0.33605987,38.93,45.96,4861.7,4225.6
10.2464,64422.0,6306949.0,1.03764749,0.98947281,0.04817474,0.00816837,0.31346691,0.48488331,0.37974769,40.50,45.96,6287.3,4239.8
9.9196,33599.0,6340548.0,1.04470813,0.99637228,0.04833584,0.01135463,0.28720021,0.50032157,0.45750916,38.31,45.96,3387.1,4234.2
9.8529,44458.0,6385006.0,1.04932237,1.00134456,0.04797790,0.00905718,0.22633490,0.44804037,0.49057937,38.48,45.96,4512.2,4236.0
10.1390,49393.0,6434399.0,1.05581319,1.00774872,0.04806434,0.00760876,0.25216609,0.49774933,0.42576095,38.98,45.96,4871.6,4240.2
9.8946,52224.0,6486623.0,1.06547177,1.01734340,0.04812846,0.01047139,0.31396839,0.44830424,0.46786812,39.27,45.96,5278.0,4246.9
9.6040,55034.0,6541657.0,1.02465236,0.97655118,0.04810111,0.00844057,0.25242928,0.39590314,0.38267940,39.55,45.96,5730.3,4256.2
9.9526,47482.0,6589139.0,1.04767048,0.99965489,0.04801557,0.00762751,0.23441431,0.47336617,0.27695233,38.79,45.96,4770.8,4259.5
9.9227,33599.0,6622738.0,1.08173645,1.03384781,0.04788865,0.00751926,0.39388907,0.50032157,0.37759218,38.31,45.96,3386.1,4253.9
9.9509,33600.0,6656338.0,1.02295506,0.97466713,0.04828797,0.00632090,0.31189919,0.50032234,0.39491260,38.31,45.96,3376.6,4247.6
9.8121,45187.0,6701525.0,1.03941035,0.99138296,0.04802734,0.00905279,0.23977381,0.45302171,0.35121849,38.55,45.96,4605.2,4249.9
10.4183,64008.0,6765533.0,1.05319679,1.00514209,0.04805478,0.00819384,0.25881934,0.47930709,0.34007448,40.46,45.96,6143.8,4262.3
10.0158,48073.0,6813606.0,1.05970979,1.01177466,0.04793518,0.00604931,0.25288793,0.48017335,0.40894389,38.84,45.96,4799.7,4265.6
9.8342,45703.0,6859309.0,1.03025162,0.98214811,0.04810350,0.00760711,0.23618555,0.45677251,0.44451126,38.60,45.96,4647.4,4268.0
10.1636,49510.0,6908819.0,1.05836082,1.01038992,0.04797090,0.00753070,0.24253063,0.49946377,0.28647110,38.99,45.96,4871.3,4271.7
9.9292,33600.0,6942419.0,1.04560518,0.99762249,0.04798267,0.00814168,0.28866509,0.50032234,0.34827191,38.31,45.96,3384.0,4266.3
9.7707,53272.0,6995691.0,1.04527628,0.99719334,0.04808295,0.00824926,0.42270398,0.41512400,0.34288007,39.37,45.96,5452.2,4273.4
9.7956,36097.0,7031788.0,1.02757013,0.97936767,0.04820251,0.00997152,0.37352002,0.46898669,0.31957099,38.31,45.96,3685.0,4269.9
9.8181,58775.0,7090563.0,1.01865959,0.97044474,0.04821473,0.00846893,0.28639910,0.42124909,0.35336450,39.93,45.96,5986.4,4280.0
9.4747,47287.0,7137850.0,1.06773198,1.01974392,0.04798800,0.00725509,0.51833135,0.38749877,0.28400525,38.77,45.96,4990.9,4284.1
10.0464,48503.0,7186353.0,1.04124486,0.99318224,0.04806261,0.00768371,0.23669462,0.48548511,0.27483782,38.89,45.96,4827.9,4287.3
9.9151,35026.0,7221379.0,1.03375196,0.98556674,0.04818528,0.00785715,0.25862822,0.48103693,0.26045543,38.31,45.96,3532.6,4282.9
9.7559,51034.0,7272413.0,1.04084694,0.99261272,0.04823434,0.00698743,0.41932535,0.42905968,0.27905318,39.14,45.96,5231.1,4288.3
9.9359,33600.0,7306013.0,1.03526807,0.98699480,0.04827330,0.00627648,0.27435279,0.50032234,0.28363794,38.31,45.96,3381.7,4283.0
10.1350,49325.0,7355338.0,1.05558705,1.00754547,0.04804158,0.00895850,0.23869275,0.49656990,0.40068915,38.97,45.96,4866.8,4286.5
9.9370,33599.0,7388937.0,1.05778062,1.00963581,0.04814499,0.00987438,0.24676841,0.50032157,0.44623321,38.31,45.96,3381.2,4281.3
9.7275,42671.0,7431608.0,1.02090883,0.97279203,0.04811686,0.00703005,0.21118534,0.44204190,0.44968858,38.31,45.96,4386.6,4281.8
10.4123,33600.0,7465208.0,1.04415822,0.99609667,0.04806159,0.00926339,0.25052592,0.50032234,0.45212403,38.31,45.96,3227.0,4275.5
10.2166,46859.0,7512067.0,1.04806709,1.00023365,0.04783350,0.00790395,0.27180690,0.46686721,0.41730404,38.72,45.96,4586.6,4277.3
10.2932,45007.0,7557074.0,1.01882410,0.97073931,0.04808483,0.00978083,0.24827048,0.45187315,0.38911983,38.53,45.96,4372.5,4277.9
10.0762,47063.0,7604137.0,1.04101992,0.99307162,0.04794825,0.00753133,0.25580978,0.46894509,0.36871427,38.74,45.96,4670.7,4280.1
10.0359,33600.0,7637737.0,1.03260255,0.98445457,0.04814800,0.00603504,0.26435041,0.50032234,0.28796715,38.31,45.96,3348.0,4274.9
9.8739,46379.0,7684116.0,1.00970113,0.96156257,0.04813856,0.00947049,0.24846503,0.46238011,0.29101524,38.67,45.96,4697.1,4277.2
9.7528,43777.0,7727893.0,1.02698386,0.97894323,0.04804051,0.00770830,0.32290840,0.44544432,0.29117149,38.41,45.96,4488.6,4278.3
9.7912,57628.0,7785521.0,1.02183461,0.97386408,0.04797050,0.00690956,0.23621456,0.42005143,0.26591298,39.82,45.96,5885.7,4287.0
9.9254,33600.0,7819121.0,1.01737428,0.96916044,0.04821384,0.00701752,0.26498228,0.50032234,0.27697298,38.31,45.96,3385.3,4282.1
9.4698,49465.0,7868586.0,1.01076019,0.96261543,0.04814478,0.00576146,0.53833979,0.38260213,0.30644685,38.99,45.96,5223.5,4286.9
