time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.3133,36023.0,5207155.0,1.05542517,1.00719559,0.04822954,0.00731431,0.42259765,0.46977016,0.36156234,34.77,40.94,4333.2,4695.1
8.4438,61768.0,5268923.0,1.05577362,1.00735724,0.04841638,0.00689182,0.38930735,0.45140716,0.32665569,37.36,40.94,7315.2,4714.9
8.4011,33600.0,5302523.0,1.02713227,0.97864139,0.04849098,0.00680552,0.33496150,0.50032234,0.41105330,34.53,40.94,3999.5,4709.5
8.1749,42842.0,5345365.0,1.04414821,0.99593842,0.04820967,0.00709344,0.24913824,0.44243678,0.30987889,35.44,40.94,5240.6,4713.3
8.4057,33600.0,5378965.0,1.03697574,0.98851383,0.04846201,0.00698464,0.31346595,0.50032234,0.39691854,34.53,40.94,3997.3,4708.1
8.4044,33603.0,5412568.0,1.06059945,1.01259470,0.04800477,0.00901826,0.27758926,0.50032467,0.47862393,34.53,40.94,3998.2,4702.9
8.3198,46419.0,5458987.0,1.02601731,0.97801602,0.04800119,0.00793099,0.26565593,0.46273133,0.43372825,35.80,40.94,5579.3,4709.1
8.2862,45486.0,5504473.0,1.03317106,0.98535955,0.04781159,0.00710780,0.28147471,0.45513582,0.50271010,35.71,40.94,5489.4,4714.7
8.5303,49013.0,5553486.0,1.04463780,0.99679327,0.04784453,0.00694335,0.26193392,0.49235690,0.46190843,36.06,40.94,5745.8,4722.1
8.1635,38968.0,5592454.0,1.05237293,1.00451660,0.04785630,0.00935942,0.46786675,0.44734564,0.30916050,35.06,40.94,4773.4,4722.5
8.5808,49266.0,5641720.0,1.05702698,1.00913775,0.04788925,0.00812558,0.24179618,0.49591613,0.38274047,36.09,40.94,5741.4,4729.8
8.4022,33600.0,5675320.0,1.02917016,0.98094368,0.04822644,0.00621094,0.29493105,0.50032234,0.43234897,34.53,40.94,3999.0,4724.7
8.2622,45184.0,5720504.0,1.03693807,0.98900598,0.04793207,0.00646783,0.26627406,0.45304847,0.54994380,35.68,40.94,5468.8,4729.7
8.7148,46112.0,5766616.0,1.05768251,1.00974166,0.04794100,0.00764243,0.26979816,0.46005458,0.48113084,35.77,40.94,5291.2,4733.7
8.3967,33598.0,5800214.0,1.05751848,1.00950825,0.04801009,0.00856722,0.26516145,0.50032079,0.32044625,34.53,40.94,4001.3,4728.7
8.3336,60027.0,5860241.0,1.04280531,0.99494988,0.04785547,0.00825353,0.28104222,0.43484041,0.41141322,37.18,40.94,7203.0,4745.4
8.3888,33600.0,5893841.0,1.01779819,0.96952105,0.04827711,0.00710453,0.26361418,0.50032234,0.35106349,34.53,40.94,4005.3,4740.4
8.4098,33600.0,5927441.0,1.06338155,1.01541233,0.04796923,0.00799802,0.21698987,0.50032234,0.32231462,34.53,40.94,3995.3,4735.4
8.4037,47311.0,5974752.0,1.04507101,0.99703562,0.04803544,0.00585918,0.25595507,0.47151467,0.35473406,35.89,40.94,5629.8,4741.3
8.4963,45015.0,6019767.0,1.04543972,0.99739182,0.04804782,0.00889670,0.24928242,0.45192420,0.32462814,35.66,40.94,5298.2,4745.0
7.9859,52972.0,6072739.0,1.04708135,0.99905401,0.04802736,0.00728423,0.46780977,0.38821745,0.32951069,36.47,40.94,6633.2,4756.8
8.3919,33599.0,6106338.0,1.03002262,0.98183239,0.04819026,0.00636888,0.25967547,0.50032157,0.33984318,34.53,40.94,4003.7,4751.9
8.3699,53721.0,6160059.0,1.05596209,1.00789797,0.04806406,0.00706783,0.30994329,0.44786990,0.36190403,36.54,40.94,6418.3,4762.7
8.3980,33601.0,6193660.0,1.06394088,1.01584244,0.04809846,0.00894014,0.26314294,0.50032312,0.35419005,34.53,40.94,4001.1,4757.7
